date,sales,customers,promo_share,pct_stores_open,year,month,quarter,day_of_week,day_of_year,is_weekend,week_of_year,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,is_construction_peak,is_post_monsoon_peak,is_monsoon_dip,trend_days
2020-01-01,16201.18,44,0.25,0.4,2020,1,1,2,1,0,1,,,,,,,,,,,0,0,0,0
2020-01-02,105519.34,286,0.1,1.0,2020,1,1,3,2,0,1,16201.18,,,,,,,,,,0,0,0,1
2020-01-03,88208.53,243,0.2,1.0,2020,1,1,4,3,0,1,105519.34,,,,,,,,,,0,0,0,2
2020-01-04,134300.03,385,0.2,1.0,2020,1,1,5,4,1,1,88208.53,,,,,,,,,,0,0,0,3
2020-01-05,123464.77,359,0.2,1.0,2020,1,1,6,5,1,1,134300.03,,,,,,,,,,0,0,0,4
2020-01-06,115511.97,313,0.05,1.0,2020,1,1,0,6,0,2,123464.77,,,,,,,,,,0,0,0,5
2020-01-07,114914.11,335,0.15,1.0,2020,1,1,1,7,0,2,115511.97,,,,,,,,,,0,0,0,6
2020-01-08,110572.37,310,0.15,1.0,2020,1,1,2,8,0,2,114914.11,16201.18,,,99731.41857142856,39541.91560827001,,,,,0,0,0,7
2020-01-09,107894.88,305,0.15,1.0,2020,1,1,3,9,0,2,110572.37,105519.34,,,113213.01714285712,14429.885144022806,,,,,0,0,0,8
2020-01-10,85352.22,239,0.1,1.0,2020,1,1,4,10,0,2,107894.88,88208.53,,,113552.37999999999,14245.544661800974,,,,,0,0,0,9
2020-01-11,131235.24,384,0.1,1.0,2020,1,1,5,11,1,2,85352.22,134300.03,,,113144.33571428571,15107.316364913882,,,,,0,0,0,10
2020-01-12,117894.58,322,0.0,1.0,2020,1,1,6,12,1,2,131235.24,123464.77,,,112706.50857142858,14420.82761964261,,,,,0,0,0,11
2020-01-13,114469.25,317,0.15,1.0,2020,1,1,0,13,0,3,117894.58,115511.97,,,111910.76714285715,13871.463997761377,,,,,0,0,0,12
2020-01-14,110467.14,312,0.15,1.0,2020,1,1,1,14,0,3,114469.25,114914.11,,,111761.80714285714,13831.889058668861,,,,,0,0,0,13
2020-01-15,107233.9,307,0.1,1.0,2020,1,1,2,15,0,3,110467.14,110572.37,16201.18,,111126.52571428572,13764.937352086334,105428.97214285714,29052.590478251193,,,0,0,0,14
2020-01-16,111481.34,305,0.15,1.0,2020,1,1,3,16,0,3,107233.9,107894.88,105519.34,,110649.60142857143,13844.940416489602,111931.30928571429,13650.648372512997,,,0,0,0,15
2020-01-17,86168.24,254,0.15,1.0,2020,1,1,4,17,0,3,111481.34,85352.22,88208.53,,111161.95285714287,13792.268497329344,112357.16642857144,13527.671852742667,,,0,0,0,16
2020-01-18,127452.45999999999,346,0.15,1.0,2020,1,1,5,18,1,3,86168.24,131235.24,134300.03,,111278.52714285713,13538.883921838737,112211.43142857144,13815.762066678575,,,0,0,0,17
2020-01-19,121484.92,333,0.1,1.0,2020,1,1,6,19,1,3,127452.45999999999,117894.58,123464.77,,110738.12999999999,12656.288157769624,111722.31928571429,13074.967847318288,,,0,0,0,18
2020-01-20,114003.19,308,0.05,1.0,2020,1,1,0,20,0,4,121484.92,114469.25,115511.97,,111251.03571428571,13060.927687791866,111580.90142857142,12948.285994364036,,,0,0,0,19
2020-01-21,116991.12,331,0.1,1.0,2020,1,1,1,21,0,4,114003.19,110467.14,114914.11,,111184.45571428571,13042.96369786643,111473.13142857142,12919.296876209783,,,0,0,0,20
2020-01-22,100426.84,292,0.0,1.0,2020,1,1,2,22,0,4,116991.12,107233.9,110572.37,,112116.45285714285,13215.116910292169,111621.4892857143,12973.661889428997,,,0,0,0,21
2020-01-23,107353.58,306,0.05,1.0,2020,1,1,3,23,0,4,100426.84,111481.34,107894.88,,111144.0157142857,13868.574656909106,110896.80857142856,13315.618325581112,,,0,0,0,22
2020-01-24,83508.96,227,0.1,1.0,2020,1,1,4,24,0,4,107353.58,86168.24,85352.22,,110554.33571428571,13939.41495543703,110858.14428571428,13325.787471858237,,,0,0,0,23
2020-01-25,129435.17,353,0.15,1.0,2020,1,1,5,25,1,4,83508.96,127452.45999999999,131235.24,,110174.43857142857,14728.680447037583,110726.48285714285,13603.39034061075,,,0,0,0,24
2020-01-26,119073.17,320,0.15,1.0,2020,1,1,6,26,1,4,129435.17,121484.92,117894.58,,110457.68285714286,15129.927988732246,110597.90642857144,13401.645657731511,,,0,0,0,25
2020-01-27,117590.7,327,0.2,1.0,2020,1,1,0,27,0,5,119073.17,114003.19,114469.25,,110113.14714285715,14862.05487901062,110682.09142857142,13454.604045164871,,,0,0,0,26
2020-01-28,113061.81,316,0.15,1.0,2020,1,1,1,28,0,5,117590.7,116991.12,110467.14,,110625.64857142858,15078.830694394503,110905.05214285714,13547.730868146926,,,0,0,0,27
2020-01-29,106541.09,304,0.05,1.0,2020,1,1,2,29,0,5,113061.81,100426.84,107233.9,16201.18,110064.31857142856,14874.120854003904,111090.3857142857,13559.022286445801,,,0,0,0,28
2020-01-30,112974.52,319,0.25,1.0,2020,1,1,3,30,0,5,106541.09,107353.58,111481.34,105519.34,110937.78285714285,14385.342044479048,111040.89928571427,13575.434359038418,,,0,0,0,29
2020-01-31,83590.3,242,0.05,1.0,2020,1,1,4,31,0,5,112974.52,83508.96,86168.24,88208.53,111740.77428571429,14308.60239999798,111147.55500000001,13585.023086358877,108359.554,21665.12097097442,0,0,0,30
2020-02-01,130312.16,364,0.15,1.0,2020,2,1,5,32,1,5,83590.3,129435.17,127452.45999999999,134300.03,111752.39428571427,14281.862246244176,110963.41642857142,13961.894588256775,110605.858,13872.473525185089,0,0,0,31
2020-02-02,118750.0,338,0.15,1.0,2020,2,1,6,33,1,5,130312.16,119073.17,121484.92,123464.77,111877.67857142857,14465.499234764782,111167.68071428571,14239.840350583265,111432.28533333333,14291.179264743909,0,0,0,32
2020-02-03,115178.15,331,0.1,1.0,2020,2,1,0,34,0,6,118750.0,117590.7,114003.19,115511.97,111831.51142857142,14439.198926009729,110972.3292857143,14105.540538477155,112450.33433333335,13653.355987224544,0,0,0,33
2020-02-04,108389.23,307,0.15,1.0,2020,2,1,1,35,0,6,115178.15,113061.81,116991.12,114914.11,111486.86142857143,14307.009034725386,111056.255,14128.437668345325,111812.93833333332,13030.274204465763,0,0,0,34
2020-02-05,119696.63,347,0.4,1.0,2020,2,1,2,36,0,6,108389.23,106541.09,100426.84,110572.37,110819.34999999999,14330.264605791464,110441.83428571429,14037.233407873453,111310.42033333333,12854.938936558909,0,0,0,35
2020-02-06,107793.17,292,0.05,1.0,2020,2,1,3,37,0,6,119696.63,112974.52,107353.58,107894.88,112698.71285714286,14536.835168868656,111818.24785714287,13923.966376244492,111449.909,12924.61695176417,0,0,0,36
2020-02-07,82352.58,226,0.1,1.0,2020,2,1,4,38,0,6,107793.17,83590.3,83508.96,85352.22,111958.52,14651.908540323322,111849.64714285715,13913.615648205023,111212.54433333332,12924.1911227468,0,0,0,37
2020-02-08,129945.75,358,0.05,1.0,2020,2,1,5,39,1,6,82352.58,130312.16,129435.17,131235.24,111781.70285714287,15053.28020978119,111767.04857142859,14097.026451982347,110271.88466666666,13958.002610084617,0,0,0,38
2020-02-09,121768.39,341,0.2,1.0,2020,2,1,6,40,1,6,129945.75,118750.0,119073.17,117894.58,111729.35857142857,14978.557216123336,111803.51857142856,14146.823677757737,111006.91366666666,14402.049741657693,0,0,0,39
2020-02-10,114978.47,323,0.1,1.0,2020,2,1,0,41,0,7,121768.39,115178.15,117590.7,114469.25,112160.55714285714,15255.241056542609,111996.03428571428,14271.154394296267,112220.78600000001,13681.844943356837,0,0,0,40
2020-02-11,115710.83,325,0.15,1.0,2020,2,1,1,42,0,7,114978.47,108389.23,113061.81,110467.14,112132.03142857143,15248.843389820764,111809.44642857143,14209.323181611106,111678.89366666667,13216.812036276568,0,0,0,41
2020-02-12,111223.45,308,0.2,1.0,2020,2,1,2,43,0,7,115710.83,119696.63,106541.09,107233.9,113177.9742857143,15200.354216387897,111998.66214285714,14244.875979366794,111606.10199999998,13187.379398847495,0,0,0,42
2020-02-13,116341.38,321,0.15,1.0,2020,2,1,3,44,0,7,111223.45,107793.17,112974.52,111481.34,111967.52,14929.69918004265,112333.11642857143,14161.606320451081,111497.90866666666,13176.389436683432,0,0,0,43
2020-02-14,85888.88,248,0.05,1.0,2020,2,1,4,45,0,7,116341.38,82352.58,83590.3,86168.24,113188.69285714286,14880.872045388443,112573.60642857142,14201.866883335932,111693.71666666666,13204.161342956348,0,0,0,44
2020-02-15,127191.47,360,0.1,1.0,2020,2,1,5,46,1,7,85888.88,129945.75,130312.16,127452.45999999999,113693.87857142858,13670.342318577113,112737.79071428571,13849.94996090847,110982.216,14003.64368974032,0,0,0,45
