date,store_id,store_type,assortment,sales,customers,promo,school_holiday,eid_period,day_of_week,open,competition_distance_m
2020-01-01,1,a,extra,0.0,0,0,1,0,2,0,425.0
2020-01-02,1,a,extra,3826.08,9,0,0,0,3,1,425.0
2020-01-03,1,a,extra,2897.86,8,0,0,0,4,1,425.0
2020-01-04,1,a,extra,5018.28,17,0,0,0,5,1,425.0
2020-01-05,1,a,extra,5290.78,16,1,0,0,6,1,425.0
2020-01-06,1,a,extra,3810.14,9,0,0,0,0,1,425.0
2020-01-07,1,a,extra,4310.27,13,0,0,0,1,1,425.0
2020-01-08,1,a,extra,4552.05,14,1,0,0,2,1,425.0
2020-01-09,1,a,extra,4038.27,10,0,0,0,3,1,425.0
2020-01-10,1,a,extra,2996.69,7,0,0,0,4,1,425.0
2020-01-11,1,a,extra,4125.64,13,0,0,0,5,1,425.0
2020-01-12,1,a,extra,3984.92,10,0,0,0,6,1,425.0
2020-01-13,1,a,extra,3921.82,11,0,0,0,0,1,425.0
2020-01-14,1,a,extra,3728.22,12,0,0,0,1,1,425.0
2020-01-15,1,a,extra,3680.36,10,0,0,0,2,1,425.0
2020-01-16,1,a,extra,3871.01,11,0,0,0,3,1,425.0
2020-01-17,1,a,extra,2410.72,7,0,0,0,4,1,425.0
2020-01-18,1,a,extra,5630.0,15,1,0,0,5,1,425.0
2020-01-19,1,a,extra,4039.55,13,0,0,0,6,1,425.0
2020-01-20,1,a,extra,4031.02,9,0,0,0,0,1,425.0
2020-01-21,1,a,extra,4205.19,13,0,0,0,1,1,425.0
2020-01-22,1,a,extra,3991.88,12,0,0,0,2,1,425.0
2020-01-23,1,a,extra,3936.97,13,0,0,0,3,1,425.0
2020-01-24,1,a,extra,3492.37,10,0,0,0,4,1,425.0
2020-01-25,1,a,extra,4453.6,11,0,0,0,5,1,425.0
2020-01-26,1,a,extra,5029.06,14,1,0,0,6,1,425.0
2020-01-27,1,a,extra,3553.37,9,0,0,0,0,1,425.0
2020-01-28,1,a,extra,3980.09,9,0,0,0,1,1,425.0
2020-01-29,1,a,extra,3479.27,8,0,0,0,2,1,425.0
2020-01-30,1,a,extra,3635.24,11,0,0,0,3,1,425.0
2020-01-31,1,a,extra,2980.39,8,0,0,0,4,1,425.0
2020-02-01,1,a,extra,4938.94,16,0,0,0,5,1,425.0
2020-02-02,1,a,extra,4216.51,12,0,0,0,6,1,425.0
2020-02-03,1,a,extra,4210.29,11,0,0,0,0,1,425.0
2020-02-04,1,a,extra,3907.91,10,0,0,0,1,1,425.0
2020-02-05,1,a,extra,4946.26,16,1,0,0,2,1,425.0
2020-02-06,1,a,extra,3846.89,13,0,0,0,3,1,425.0
2020-02-07,1,a,extra,2735.96,7,0,0,0,4,1,425.0
2020-02-08,1,a,extra,3949.78,10,0,0,0,5,1,425.0
2020-02-09,1,a,extra,4368.6,13,0,0,0,6,1,425.0
2020-02-10,1,a,extra,4279.45,11,0,0,0,0,1,425.0
2020-02-11,1,a,extra,3968.26,13,0,0,0,1,1,425.0
2020-02-12,1,a,extra,3451.36,8,0,0,0,2,1,425.0
2020-02-13,1,a,extra,3476.81,8,0,0,0,3,1,425.0
2020-02-14,1,a,extra,2930.71,8,0,0,0,4,1,425.0
2020-02-15,1,a,extra,5008.6,16,0,0,0,5,1,425.0
2020-02-16,1,a,extra,3731.56,9,0,0,0,6,1,425.0
2020-02-17,1,a,extra,4113.7,10,0,0,0,0,1,425.0
2020-02-18,1,a,extra,3993.63,9,0,0,0,1,1,425.0
2020-02-19,1,a,extra,3731.37,11,0,0,0,2,1,425.0
2020-02-20,1,a,extra,3605.64,11,0,0,0,3,1,425.0
2020-02-21,1,a,extra,1104.78,2,0,1,0,4,1,425.0
2020-02-22,1,a,extra,4526.41,10,0,0,0,5,1,425.0
2020-02-23,1,a,extra,3833.29,10,0,0,0,6,1,425.0
2020-02-24,1,a,extra,4256.92,11,0,0,0,0,1,425.0
2020-02-25,1,a,extra,4202.84,13,0,0,0,1,1,425.0
2020-02-26,1,a,extra,3863.31,9,0,0,0,2,1,425.0
2020-02-27,1,a,extra,3847.95,10,0,0,0,3,1,425.0
2020-02-28,1,a,extra,3285.4,8,0,0,0,4,1,425.0
2020-02-29,1,a,extra,4834.12,14,0,0,0,5,1,425.0
2020-03-01,1,a,extra,5124.57,17,0,0,0,6,1,425.0
2020-03-02,1,a,extra,4449.47,12,0,0,0,0,1,425.0
2020-03-03,1,a,extra,4509.11,15,0,0,0,1,1,425.0
2020-03-04,1,a,extra,4625.91,13,0,0,0,2,1,425.0
2020-03-05,1,a,extra,5238.6,16,0,0,0,3,1,425.0
2020-03-06,1,a,extra,3624.98,12,0,0,0,4,1,425.0
2020-03-07,1,a,extra,8432.55,22,1,0,0,5,1,425.0
2020-03-08,1,a,extra,5894.04,14,0,0,0,6,1,425.0
2020-03-09,1,a,extra,5281.55,16,0,0,0,0,1,425.0
2020-03-10,1,a,extra,4423.92,15,0,0,0,1,1,425.0
2020-03-11,1,a,extra,5476.6,17,1,0,0,2,1,425.0
2020-03-12,1,a,extra,5286.33,16,0,0,0,3,1,425.0
2020-03-13,1,a,extra,3892.85,12,0,0,0,4,1,425.0
2020-03-14,1,a,extra,6046.97,15,0,0,0,5,1,425.0
2020-03-15,1,a,extra,4456.71,14,0,0,0,6,1,425.0
2020-03-16,1,a,extra,5633.57,14,0,0,0,0,1,425.0
2020-03-17,1,a,extra,5880.6,20,1,0,0,1,1,425.0
2020-03-18,1,a,extra,5378.77,15,0,0,0,2,1,425.0
2020-03-19,1,a,extra,3777.34,10,0,0,0,3,1,425.0
2020-03-20,1,a,extra,3171.39,11,0,0,0,4,1,425.0
2020-03-21,1,a,extra,5463.06,13,0,0,0,5,1,425.0
2020-03-22,1,a,extra,6137.55,20,0,0,0,6,1,425.0
2020-03-23,1,a,extra,6078.92,16,1,0,0,0,1,425.0
2020-03-24,1,a,extra,4725.61,13,0,0,0,1,1,425.0
2020-03-25,1,a,extra,4353.31,12,0,0,0,2,1,425.0
2020-03-26,1,a,extra,0.0,0,0,1,0,3,0,425.0
2020-03-27,1,a,extra,3686.69,12,0,0,0,4,1,425.0
2020-03-28,1,a,extra,5135.7,12,0,0,0,5,1,425.0
2020-03-29,1,a,extra,6148.5,20,1,0,0,6,1,425.0
2020-03-30,1,a,extra,5213.09,14,0,0,0,0,1,425.0
2020-03-31,1,a,extra,5049.4,15,0,0,0,1,1,425.0
2020-04-01,1,a,extra,4875.11,12,0,0,0,2,1,425.0
2020-04-02,1,a,extra,4605.74,13,0,0,0,3,1,425.0
2020-04-03,1,a,extra,3637.84,11,0,0,0,4,1,425.0
2020-04-04,1,a,extra,5340.07,13,0,0,0,5,1,425.0
2020-04-05,1,a,extra,5580.52,18,0,0,0,6,1,425.0
2020-04-06,1,a,extra,5417.92,16,0,0,0,0,1,425.0
2020-04-07,1,a,extra,4719.42,14,0,0,0,1,1,425.0
2020-04-08,1,a,extra,6084.68,14,1,0,0,2,1,425.0
2020-04-09,1,a,extra,4565.54,12,0,0,0,3,1,425.0
2020-04-10,1,a,extra,3277.6,8,0,0,0,4,1,425.0
2020-04-11,1,a,extra,4857.06,12,0,0,0,5,1,425.0
2020-04-12,1,a,extra,5078.47,17,0,0,0,6,1,425.0
2020-04-13,1,a,extra,4461.81,13,0,0,0,0,1,425.0
2020-04-14,1,a,extra,0.0,0,0,1,0,1,0,425.0
2020-04-15,1,a,extra,4490.38,15,0,0,0,2,1,425.0
2020-04-16,1,a,extra,5688.98,14,1,0,0,3,1,425.0
2020-04-17,1,a,extra,3674.17,12,0,0,0,4,1,425.0
2020-04-18,1,a,extra,7713.63,18,1,0,0,5,1,425.0
